query,approved,rejected,errors,approved_dir,report
Vanity Cosmetic Surgery Hospital klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Vanity_Cosmetic_Surgery_Hospital_klinik,output/report_Vanity_Cosmetic_Surgery_Hospital_klinik.csv
Vaser Liposuction klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Vaser_Liposuction_klinik,output/report_Vaser_Liposuction_klinik.csv
Vega Hair Center klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Vega_Hair_Center_klinik,output/report_Vega_Hair_Center_klinik.csv
Vera Smile - Dental Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Vera_Smile_-_Dental_Clinic_klinik,output/report_Vera_Smile_-_Dental_Clinic_klinik.csv
Vialife Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Vialife_Clinic_klinik,output/report_Vialife_Clinic_klinik.csv
Vital Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Vital_Clinic_klinik,output/report_Vital_Clinic_klinik.csv
Viva Est klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Viva_Est_klinik,output/report_Viva_Est_klinik.csv
Yeliz Damar Anatolia Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Yeliz_Damar_Anatolia_Hair_Clinic_klinik,output/report_Yeliz_Damar_Anatolia_Hair_Clinic_klinik.csv
Ali Şahan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ali_Şahan_klinik,output/report_Ali_Şahan_klinik.csv
Ceydasimsirhairtransplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ceydasimsirhairtransplant_klinik,output/report_Ceydasimsirhairtransplant_klinik.csv
Cinik klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Cinik_klinik,output/report_Cinik_klinik.csv
Emrah Aslan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Emrah_Aslan_klinik,output/report_Emrah_Aslan_klinik.csv
Erdem Hospital klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Erdem_Hospital_klinik,output/report_Erdem_Hospital_klinik.csv
Erkam Caymaz klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Erkam_Caymaz_klinik,output/report_Erkam_Caymaz_klinik.csv
Ersin Ulu klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ersin_Ulu_klinik,output/report_Ersin_Ulu_klinik.csv
Hospitalturk klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hospitalturk_klinik,output/report_Hospitalturk_klinik.csv
Ilker Manavbaşı klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ilker_Manavbaşı_klinik,output/report_Ilker_Manavbaşı_klinik.csv
Ibrahim Askar klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ibrahim_Askar_klinik,output/report_Ibrahim_Askar_klinik.csv
Jale Şenyurt klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Jale_Şenyurt_klinik,output/report_Jale_Şenyurt_klinik.csv
Musa Balta klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Musa_Balta_klinik,output/report_Musa_Balta_klinik.csv
Oya Şişman klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Oya_Şişman_klinik,output/report_Oya_Şişman_klinik.csv
Rebornia klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Rebornia_klinik,output/report_Rebornia_klinik.csv
Sedatsahinn_ klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sedatsahinn__klinik,output/report_Sedatsahinn__klinik.csv
Seneca klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Seneca_klinik,output/report_Seneca_klinik.csv
Serpil Asam klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Serpil_Asam_klinik,output/report_Serpil_Asam_klinik.csv
Sevil Kara klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sevil_Kara_klinik,output/report_Sevil_Kara_klinik.csv
Smile Hair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Smile_Hair_klinik,output/report_Smile_Hair_klinik.csv
Tameryigitart klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Tameryigitart_klinik,output/report_Tameryigitart_klinik.csv
Tarik Cavusoglu klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Tarik_Cavusoglu_klinik,output/report_Tarik_Cavusoglu_klinik.csv
Vega klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Vega_klinik,output/report_Vega_klinik.csv
Yetkin Bayer klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Yetkin_Bayer_klinik,output/report_Yetkin_Bayer_klinik.csv
Ysrael.gallery klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ysraelgallery_klinik,output/report_Ysraelgallery_klinik.csv
Zenonlallier klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Zenonlallier_klinik,output/report_Zenonlallier_klinik.csv
Ziya Yavuz klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ziya_Yavuz_klinik,output/report_Ziya_Yavuz_klinik.csv
Özel Epc Hastanesi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Özel_Epc_Hastanesi_klinik,output/report_Özel_Epc_Hastanesi_klinik.csv
Özgür Öztan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Özgür_Öztan_klinik,output/report_Özgür_Öztan_klinik.csv
Özgür Koldaş klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Özgür_Koldaş_klinik,output/report_Özgür_Koldaş_klinik.csv
İlyas Arslan Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/İlyas_Arslan_Hair_Clinic_klinik,output/report_İlyas_Arslan_Hair_Clinic_klinik.csv
Life Hair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Life_Hair_klinik,output/report_Life_Hair_klinik.csv
Ahmet Tosun klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ahmet_Tosun_klinik,output/report_Ahmet_Tosun_klinik.csv
Ers Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ers_Clinic_klinik,output/report_Ers_Clinic_klinik.csv
Mehmet Sezgin klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Mehmet_Sezgin_klinik,output/report_Mehmet_Sezgin_klinik.csv
Academic Hospital klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Academic_Hospital_klinik,output/report_Academic_Hospital_klinik.csv
Sibel Ulusan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sibel_Ulusan_klinik,output/report_Sibel_Ulusan_klinik.csv
Asuman Hair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Asuman_Hair_klinik,output/report_Asuman_Hair_klinik.csv
Estepro klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estepro_klinik,output/report_Estepro_klinik.csv
Likya Hair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Likya_Hair_klinik,output/report_Likya_Hair_klinik.csv
Asmed klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Asmed_klinik,output/report_Asmed_klinik.csv
Sultan Özmen klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sultan_Özmen_klinik,output/report_Sultan_Özmen_klinik.csv
Dr Hakan Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Hakan_Clinic_klinik,output/report_Dr_Hakan_Clinic_klinik.csv
Zafer Ulusan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Zafer_Ulusan_klinik,output/report_Zafer_Ulusan_klinik.csv
Drt Hair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Drt_Hair_klinik,output/report_Drt_Hair_klinik.csv
Canhair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Canhair_klinik,output/report_Canhair_klinik.csv
Qht Regrow Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Qht_Regrow_Clinic_klinik,output/report_Qht_Regrow_Clinic_klinik.csv
Mega Hair Trans klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Mega_Hair_Trans_klinik,output/report_Mega_Hair_Trans_klinik.csv
Emphair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Emphair_klinik,output/report_Emphair_klinik.csv
Bilgehan Aydın klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Bilgehan_Aydın_klinik,output/report_Bilgehan_Aydın_klinik.csv
Long Hair Center klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Long_Hair_Center_klinik,output/report_Long_Hair_Center_klinik.csv
Real Hair Center klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Real_Hair_Center_klinik,output/report_Real_Hair_Center_klinik.csv
Yaman Tıp Merkezi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Yaman_Tıp_Merkezi_klinik,output/report_Yaman_Tıp_Merkezi_klinik.csv
Suat Çiçek klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Suat_Çiçek_klinik,output/report_Suat_Çiçek_klinik.csv
Estemylife klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estemylife_klinik,output/report_Estemylife_klinik.csv
Esteticare klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esteticare_klinik,output/report_Esteticare_klinik.csv
Esthetica klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esthetica_klinik,output/report_Esthetica_klinik.csv
Clinicexpert klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Clinicexpert_klinik,output/report_Clinicexpert_klinik.csv
Estefavor klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estefavor_klinik,output/report_Estefavor_klinik.csv
Emsey Hastanesi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Emsey_Hastanesi_klinik,output/report_Emsey_Hastanesi_klinik.csv
Özgür Nalbant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Özgür_Nalbant_klinik,output/report_Özgür_Nalbant_klinik.csv
Isveç Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Isveç_Clinic_klinik,output/report_Isveç_Clinic_klinik.csv
Arenamed klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Arenamed_klinik,output/report_Arenamed_klinik.csv
Bilgehan Aydın klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Bilgehan_Aydın_klinik,output/report_Bilgehan_Aydın_klinik.csv
Roza klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Roza_klinik,output/report_Roza_klinik.csv
Zekeriya Kul klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Zekeriya_Kul_klinik,output/report_Zekeriya_Kul_klinik.csv
Medpoint klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medpoint_klinik,output/report_Medpoint_klinik.csv
Melek Polat klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Melek_Polat_klinik,output/report_Melek_Polat_klinik.csv
Hairchiefs klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hairchiefs_klinik,output/report_Hairchiefs_klinik.csv
Ayyildiz Esthetic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ayyildiz_Esthetic_klinik,output/report_Ayyildiz_Esthetic_klinik.csv
Estemiami klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estemiami_klinik,output/report_Estemiami_klinik.csv
Hermest klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hermest_klinik,output/report_Hermest_klinik.csv
Estemylife klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estemylife_klinik,output/report_Estemylife_klinik.csv
Egeshairclinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Egeshairclinic_klinik,output/report_Egeshairclinic_klinik.csv
Esteliv klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esteliv_klinik,output/report_Esteliv_klinik.csv
Trabzon Imperial klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Trabzon_Imperial_klinik,output/report_Trabzon_Imperial_klinik.csv
